fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Jan,24,ODISHA,2414,BARGARH,3630085,305.745492018228,40,163,1041.870798182,16690,0,15253,2059192,329628,45298,510980,59619,315.74961,7653.507120182,51476,79312,134437,256297,2878,190688,340932,31943,6295.886712,848251,70,31.97,47.74,99.87,NA
2024-2025,Jan,24,ODISHA,2415,JHARSUGUDA,1400497,253.501213045462,39,33,827.428731850001,5863,0,4128,740978,159417,19579,333104,41523,96.6106,2802.42755025,18766,26905,49898,95365,694,63801,116444,9991,1878.3882184,351158,60,42.34,23.07,99.79,NA
2024-2025,Jan,24,ODISHA,2416,DEOGARH,1188414,260.122602302426,39,150,1825.636831336,3806,0,4647,965764,113889,13488,327841,30184,87.81776,4425.625040236,24307,37032,50131,91825,640,66231,117513,8453,2512.1704489,489728,36,52.13,20.85,99.83,NA
2024-2025,Jan,24,ODISHA,2422,NAYAGARH,2431084,255.671575254749,33,76,3668.17897668301,11115,0,16054,1227484,120110,24632,123275,15327,213.52956,7020.036215483,36106,54583,113524,229418,211,167646,329452,27169,3138.3276788,566645,70,44.58,17.5,99.7,NA
2024-2025,Jan,24,ODISHA,2426,BOUDH,1718168,255.790292010944,38,36,1988.8085389341,10019,0,10885,1236529,223710,27219,132435,14034,114.91525,5266.6449288341,32414,49936,72684,132239,410,94398,165265,20904,3162.9211399,568720,79,39.11,18.89,99.5,NA
2024-2025,Jan,24,ODISHA,2430,NABARANGAPUR,6050389,274.807753324144,48,181,7129.782397936,13876,0,28702,4040890,615944,41466,1999276,144267,193.72091,18428.182331236,82864,112785,166345,266412,5873,212233,328755,42578,11104.6790233,1834811,66,34.55,27.87,99.48,NA
2024-2025,Dec,24,ODISHA,2420,JAJPUR,2556840,259.033629570346,30,72,1747.911682589,11607,0,12161,930865,176237,46497,55516,12543,140.98981,4300.154888489,30241,39800,136868,218011,137,204935,307498,23768,2411.2533959,387981,50,68.2,7.17,99.56,NA
2024-2025,Dec,24,ODISHA,2423,KHORDHA,1269853,254.945737939055,29,64,1397.958187564,4994,0,8327,490115,45355,16335,35462,8745,83.93141,2731.416901064,16487,22814,67697,124737,247,109806,190813,13321,1249.5273035,222169,54,47.99,15.52,99.89,NA
2024-2025,Dec,24,ODISHA,2424,GAJAPATI,2765128,281.971998081466,43,130,3211.81003889,9506,0,18817,2217317,126101,11208,1531848,112440,188.81908,9652.84216759001,51333,75754,91897,171050,2994,112237,200578,28323,6252.21304870001,1115069,60,48.06,24.21,99.52,NA
2024-2025,Dec,24,ODISHA,2426,BOUDH,1646300,256.005210118493,37,35,1987.2853739341,10002,0,10680,1216861,220070,27208,131175,14030,114.91525,5217.4281838341,32040,49339,72594,132068,400,94244,164956,20682,3115.2275599,559131,79,39.5,18.95,99.51,NA
2024-2025,Dec,24,ODISHA,2429,RAYAGADA,4877577,267.699273024675,46,371,4921.491979987,13941,0,26335,3342273,585849,34638,2089239,124999,208.48832,14077.220823487,71501,98644,125942,203107,4695,158381,246301,40276,8947.2405235,1633908,49,59.15,10.22,99.5,NA
2024-2025,Dec,24,ODISHA,2419,JAGATSINGHAPUR,1303911,259.795379595889,25,75,1446.562259188,4540,0,9112,473385,57118,24760,1420,574,100.77315,2777.167766888,18245,26372,81860,139920,122,126130,203219,13652,1229.8323577,200609,52,54.99,4.52,99.72,NA
2024-2025,Dec,24,ODISHA,2422,NAYAGARH,2323800,256.021875450977,33,76,3667.42057668301,11011,0,15806,1172454,117000,24595,118939,15284,213.52956,6882.68885628301,34994,52830,113246,228890,200,167546,329234,26817,3001.7387196,541770,70,45.48,17.87,99.71,NA
2024-2025,Dec,24,ODISHA,2431,MALKANGIRI,2992175,254.350800007245,49,310,4728.394872502,11988,0,19108,2815862,666687,39478,1692264,92716,176.90502,12067.467416602,57058,77565,97896,158876,4552,116551,183715,31096,7162.1675241,1227811,65,41.48,33.61,99.62,NA
2024-2025,Jan,24,ODISHA,2402,SUNDARGARH,9005387,254.138765053538,47,437,4600.033544878,27160,0,22545,6362956,535481,30685,4374297,241979,400.92651,21171.697854178,133203,172912,219062,349703,7485,243699,387073,49705,16170.7377993,3082167,69,36.06,38.65,99.74,NA
2024-2025,Jan,24,ODISHA,2407,DHENKANAL,4424341,260.586045504542,40,112,4018.208836443,10799,0,15615,1863770,309676,51646,305802,37902,219.29178,9094.225156743,46483,62654,156897,273031,892,201300,343602,26414,4856.7245403,892697,58,44.96,19.08,99.33,NA
2024-2025,Jan,24,ODISHA,2408,KANDHAMAL,7810643,264.570740922453,63,3345,7854.657233231,21991,0,30910,7739123,1669545,55305,4262527,138410,289.10484,28619.217135231,122060,186581,149449,250008,21480,160962,270295,52901,20475.455062,3855170,53,30.02,49.82,99.74,NA
2024-2025,Jan,24,ODISHA,2410,KALAHANDI,7196074,313.462851359024,52,348,11165.907502678,27141,0,31156,6201769,1186543,68047,2151947,125866,248.37885,30854.528294778,117670,187983,217312,394430,14312,277129,481792,58297,19440.2419421,2974359,49,26.53,49.53,99.71,NA
2024-2025,Jan,24,ODISHA,2412,GANJAM,18262650,232.791848618568,34,219,11307.604408812,31527,0,30224,3965123,587403,102295,239850,27939,600.14333,21138.230870512,114334,130894,404801,584921,1421,439549,629218,61751,9230.4831317,2283828,43,42.08,26.16,99.57,NA
2024-2025,Jan,24,ODISHA,2420,JAJPUR,2678492,258.756479093797,30,74,1747.911682589,11665,0,12162,945748,178638,46527,56459,12552,140.98981,4336.085718489,30627,40336,136973,218162,146,205440,308168,23827,2447.1842259,394418,50,67.98,7.12,99.55,NA
2024-2025,Feb,24,ODISHA,2403,KENDUJHAR,8153598,252.735100186057,42,440,3150.37178867,46553,0,35017,5524122,558831,48742,2818377,211443,395.64761,17507.41466977,129460,187910,253282,455067,4716,328688,558730,81570,13961.3952711,2867311,86,31.88,20.33,99.82,NA
2024-2025,Feb,24,ODISHA,2411,KORAPUT,8964699,268.992617359243,50,554,14981.788052338,25925,0,40660,6282313,836900,46479,3597634,191430,367.27442,32248.020641738,125320,164029,222842,342164,9802,267348,399025,66585,16898.9581694,2880241,58,51.03,20.39,99.36,NA
2024-2025,Feb,24,ODISHA,2415,JHARSUGUDA,1462691,253.983292745267,44,45,868.048488182001,6008,0,4159,964405,205600,19777,439671,42032,126.28912,3443.765182582,21815,31980,50413,96444,1162,67388,121623,10167,2449.4275744,456792,60,40.02,24.79,99.84,NA
2024-2025,Feb,24,ODISHA,2424,GAJAPATI,3036893,284.438330114584,48,157,3499.805425221,10650,0,19784,2757800,147651,11307,1921693,114291,228.66188,11572.707573121,57080,85616,93072,173844,4683,116116,208037,30434,7844.24026790001,1395721,62,44.31,26.49,100.05,NA
2024-2025,Dec,24,ODISHA,2407,DHENKANAL,4172515,260.120850767495,39,112,4018.025146443,10600,0,15687,1804312,302970,51597,299038,37870,219.29178,8930.708651343,45573,61331,156702,272691,839,200563,342552,26287,4693.3917249,864066,58,45.03,19.09,99.39,NA
2024-2025,Dec,24,ODISHA,2411,KORAPUT,8041556,268.817430121644,47,519,13915.58725739,22231,0,39754,5549644,746016,46064,3176241,189924,296.1354,29130.13303909,116711,152173,220998,339322,7422,259565,388222,61985,14918.4103817,2542494,57,51.48,20.35,99.34,NA
2024-2025,Dec,24,ODISHA,2415,JHARSUGUDA,1303822,252.882355542831,38,32,825.625891850001,5806,0,4047,670614,145097,19520,299148,41391,96.6106,2618.10097165,17448,24803,49757,95091,545,63608,116124,9853,1695.8644798,319152,60,42.79,21.9,99.86,NA
2024-2025,Dec,24,ODISHA,2416,DEOGARH,1088902,260.729736996841,38,146,1775.27289888,3694,0,4541,858849,101598,13403,292698,29977,87.81776,4102.36539778,22600,34164,49868,91305,504,65680,116568,8235,2239.2747389,435454,35,52.25,20.89,99.85,NA
2024-2025,Dec,24,ODISHA,2417,BHADRAK,2221038,259.396046671831,29,89,2809.426644878,13283,0,24170,991476,144524,29501,6275,1444,199.4784,5580.754592578,33794,44435,136444,204222,63,210876,302432,37453,2571.8495477,463608,72,27.86,6.98,99.59,NA
2024-2025,Dec,24,ODISHA,2424,GAJAPATI,2765128,281.458441802518,42,128,3199.62649889,9431,0,18531,2124628,122237,11189,1464046,112199,188.81908,9368.39044179001,50501,74335,91739,170701,2721,111832,199817,27962,5979.94486290001,1067010,60,48.83,23.79,99.63,NA
2024-2025,Dec,24,ODISHA,2429,RAYAGADA,4877577,265.434416306046,46,368,4908.926549987,13798,0,26268,3264973,572288,34579,2041704,124922,208.48832,13783.776895087,70821,97653,125823,202961,4409,156985,244508,40066,8666.36202509999,1596004,49,58.75,10.39,99.52,NA
2024-2025,Dec,24,ODISHA,2404,MAYURBHANJ,10571959,256.951275232476,42,332,7947.99719865999,100481,0,73588,7593141,697779,58056,3815180,309304,467.93619,27926.60601836,179855,234930,354793,586039,3593,436986,697036,174069,19510.6726297,3945828,86,36.41,8.06,99.78,NA
2024-2025,Dec,24,ODISHA,2411,KORAPUT,8041556,268.677624108479,47,519,13823.920786073,22056,0,39871,5465662,734571,46018,3127550,189732,286.26122,28795.192809473,115789,150890,220829,339030,7205,259272,387760,61927,14685.0108034,2504614,57,51.66,20.28,99.33,NA
2024-2025,Dec,24,ODISHA,2421,ANGUL,3369076,253.398838204709,37,127,3968.326919253,11098,2,18351,1516033,176155,33023,222169,34129,162.76258,7972.699508053,40281,54802,138938,245162,640,171314,292634,29449,3841.6100088,782286,58,55.54,8.22,99.81,NA
2024-2025,Dec,24,ODISHA,2424,GAJAPATI,2765128,281.110091800078,41,126,3189.66884889,9319,0,18412,2050434,119145,11184,1410736,112032,184.44233,9138.08807859001,49678,72944,91601,170401,2549,111640,199422,27731,5763.9768997,1029064,60,49.12,23.57,99.61,NA
2024-2025,Dec,24,ODISHA,2430,NABARANGAPUR,5753716,271.943892388769,47,175,7036.108820436,13452,0,27548,3763938,576393,41674,1862059,145811,192.29568,17464.204004736,79587,108074,166292,268694,5007,213088,332368,41000,10235.7995043,1709003,65,34.56,28.32,99.48,NA
2024-2025,Dec,24,ODISHA,2401,SAMBALPUR,2267040,253.266665994652,38,84,872.077620458,12186,0,10672,1507904,215797,24461,771197,79103,201.45434,4892.550147658,39092,55603,90809,160559,811,129078,225853,22858,3819.0181872,697880,67,34.23,37.08,99.68,NA
2024-2025,Dec,24,ODISHA,2413,PURI,1636892,265.962976636568,26,53,1023.477497032,17643,0,16947,736022,133239,38909,3558,1024,175.63772,3156.661236932,28131,42800,119784,246423,137,197247,374400,34590,1957.5460199,331192,85,32.56,9.86,99.66,NA
2024-2025,Dec,24,ODISHA,2424,GAJAPATI,2765128,280.575948440145,41,128,3194.02514889,9427,0,18485,2104234,121707,11189,1448059,112157,188.81908,9286.81873179001,50297,74012,91708,170639,2655,111778,199714,27912,5903.97450290001,1056906,60,48.91,23.67,99.62,NA
2024-2025,Dec,24,ODISHA,2431,MALKANGIRI,2992175,254.046859141799,48,303,4726.092572502,11888,0,18937,2738449,645206,39312,1647660,92514,160.3938,11843.430046202,56332,76493,97598,158462,4188,116037,183033,30825,6956.9436737,1193979,66,41.87,33.16,99.67,NA
2024-2025,Dec,24,ODISHA,2406,CUTTACK,2010049,251.616124966375,28,54,1545.692228383,7956,0,12237,490708,67218,46625,29282,10605,134.71806,2915.110742883,17417,24859,121843,238573,74,203799,370659,20193,1234.7004545,228922,62,38.26,16,99.69,NA
2024-2025,Dec,24,ODISHA,2407,DHENKANAL,4172515,259.597919063224,39,112,4018.025146443,10627,0,15695,1808671,303485,51598,299357,37874,219.29178,8932.589205143,45642,61435,156722,272729,851,200594,342597,26322,4695.2722787,866093,58,45.02,19.09,99.33,NA
2024-2025,Dec,24,ODISHA,2408,KANDHAMAL,7488891,263.81952248829,62,3300,7778.484452831,21717,0,30793,7554265,1628683,55192,4161776,138209,287.37505,27995.485353331,121234,185191,149209,249573,20435,160514,269550,52510,19929.6258505,3762674,53,30,49.97,99.73,NA
2024-2025,Dec,24,ODISHA,2414,BARGARH,3307682,305.521857037722,38,156,1036.626758182,16450,0,15120,1913176,305295,45143,470007,59419,315.74961,7197.547211782,49631,76111,134002,255471,2354,189784,339602,31570,5845.1708436,788402,70,32.03,46.75,99.84,NA
2024-2025,Dec,24,ODISHA,2419,JAGATSINGHAPUR,1303911,258.971331163776,25,73,1444.325469188,4367,0,9134,462460,56125,24762,1408,576,100.77315,2742.737437288,17980,26008,81826,139848,101,125221,201891,13501,1197.6388181,195680,52,54.86,4.51,99.72,NA
2024-2025,Dec,24,ODISHA,2427,SONEPUR,1566354,257.756121625444,38,44,2290.765113962,8946,0,10416,1230384,212472,27426,92242,10414,144.36487,5606.520063462,31865,43878,79921,137275,510,117768,196700,19362,3171.3900795,536155,78,34.6,14.75,99.49,NA
2024-2025,Jan,24,ODISHA,2411,KORAPUT,8557194,269.642945258403,48,530,13961.74327396,22944,0,39721,5716439,766850,46072,3273256,190085,296.1354,29671.85315746,118442,154485,221306,339589,7987,260643,389432,62665,15413.9744835,2618547,57,51.43,20.31,99.3,NA
2024-2025,Jan,24,ODISHA,2412,GANJAM,18262650,232.384420606573,34,220,11318.365283012,31641,0,30434,4040769,598467,102305,244859,27937,600.14333,21308.626241712,115919,132802,404843,585006,1486,439787,629555,62075,9390.1176287,2328188,43,41.81,25.87,99.57,NA
2024-2025,Jan,24,ODISHA,2424,GAJAPATI,2905912,283.473170314049,44,139,3229.28196889,9760,0,18914,2297356,129133,11206,1589735,112690,188.81908,9930.48893549002,52063,76995,92068,171425,3197,112649,201370,28674,6512.38788660002,1157011,60,47.21,24.64,99.51,NA
2024-2025,Jan,24,ODISHA,2427,SONEPUR,1684960,257.406757949343,39,45,2297.633061662,9239,0,10746,1309668,223328,27536,98028,10479,146.32009,5815.127090362,33311,45957,80386,138057,544,118199,197472,19985,3371.1739387,570003,78,33.84,14.47,99.5,NA
2024-2025,Jan,24,ODISHA,2429,RAYAGADA,5138448,267.822397707588,47,372,4924.282979987,14129,0,26565,3388570,593282,34648,2120140,124814,208.48832,14208.120721987,71907,99262,125902,202949,4921,159355,247329,40694,9075.349422,1657152,49,58.68,10.23,99.5,NA
2024-2025,Oct,24,ODISHA,2404,MAYURBHANJ,8254638,256.56121185304,37,285,6667.95563035799,50053,0,117520,6018304,560181,57742,2988093,306859,242.92229,22351.511595758,160647,207936,351815,581162,1832,431830,689394,167573,15440.6336754,3142591,86,33.27,6.76,99.61,NA
2024-2025,Oct,24,ODISHA,2405,BALESHWAR,1870402,256.770033024069,30,133,2123.951736262,16414,0,52453,1231526,190964,44013,80307,18559,132.6805,5418.821953162,40541,54583,160268,268752,71,253020,405117,68867,3162.1897169,611823,79,30.63,4.65,99.67,NA
2024-2025,Oct,24,ODISHA,2406,CUTTACK,1711484,252.577968348151,27,50,1485.156313646,5466,0,17595,405158,55125,46681,24974,10599,84.28354,2592.779698646,14965,21286,121414,237739,50,202103,367971,23061,1023.339845,187525,67,41.29,17.06,99.71,NA
2024-2025,Oct,24,ODISHA,2424,GAJAPATI,2217820,274.66713698679,33,97,2534.304061793,7456,0,21693,1288314,78727,11091,865323,110298,95.9386,6168.817840993,38057,54430,90240,167871,900,109558,195671,29149,3538.5751792,644694,65,50.07,19.96,99.28,NA
2024-2025,Oct,24,ODISHA,2428,NUAPADA,2486358,332.552589727911,46,445,2351.010079435,19964,0,33295,2085165,274690,27061,785914,76327,73.87273,9359.153017035,44668,81393,86786,195266,4581,99067,215579,53259,6934.2702076,964662,78,42.79,18.76,99.58,NA
2024-2025,Oct,24,ODISHA,2429,RAYAGADA,3706833,263.276231786713,37,309,4493.673754586,10524,0,37193,2181100,390995,34300,1362050,123557,118.64724,10354.638886086,58783,80212,124049,201101,1554,153495,240849,47717,5742.3178915,1061887,59,53.08,12.21,99.23,NA
2024-2025,Oct,24,ODISHA,2430,NABARANGAPUR,4677853,268.524267345914,40,156,6078.916531832,10861,0,39112,2738325,413880,41006,1341106,145584,113.60006,13545.583735632,67608,91431,163810,267035,2004,209753,330458,49973,7353.0671438,1256244,73,32.42,29.39,99.29,NA
2024-2025,Sep,24,ODISHA,2406,CUTTACK,1578167,250.901124356234,26,49,1419.739828578,5400,0,17630,394359,53589,46749,24173,10607,84.28354,2493.474533578,14767,20973,121521,238037,43,202249,368326,23030,989.451165,182208,67,41.52,17.37,99.72,NA
2024-2025,Sep,24,ODISHA,2407,DHENKANAL,3083247,262.669631420227,33,92,3423.622513872,8307,0,18614,1218298,208131,51407,211123,37684,109.83397,6733.555350072,36488,48672,155894,271297,377,198839,339859,26921,3200.0988662,585022,60,38.96,21.25,99.24,NA
2024-2025,Sep,24,ODISHA,2408,KANDHAMAL,5495969,256.232253997611,49,3032,5659.111347432,15205,0,38146,5444815,1181245,54134,2991237,135589,142.42501,19752.908557932,110987,167283,146815,244755,9359,156814,262767,53351,13951.3722005,2718980,56,32.32,47.11,99.58,NA
2024-2025,Sep,24,ODISHA,2413,PURI,1252213,269.091560826265,24,40,846.628573477,11838,0,20988,563112,106709,38645,2866,1020,141.55885,2503.474293477,22700,34395,118883,244280,89,194765,369379,32826,1515.28687,254732,85,31.17,11.28,99.57,NA
2024-2025,Sep,24,ODISHA,2414,BARGARH,2200043,297.427232222369,32,104,753.249700275,13424,0,19955,1101595,160408,44555,251980,58840,197.50256,4227.195779075,34332,50686,131844,252454,810,187835,337421,33379,3276.4435188,468020,73,40.24,33.37,99.8,NA
2024-2025,Sep,24,ODISHA,2418,KENDRAPARA,1427628,256.932162526151,25,58,286.954961364,6057,0,24320,382400,65320,43026,1055,1296,102.25783,1371.721380864,15170,20612,127758,223425,25,195438,321927,30377,982.5085895,168775,53,42.68,3.69,99.6,NA
2024-2025,Sep,24,ODISHA,2429,RAYAGADA,3177940,264.508228267507,36,304,3974.615875136,10345,0,37097,2066514,372459,34289,1288792,123514,118.64724,9559.362683436,57049,77724,124033,201035,1383,153181,240437,47442,5466.0995683,1005932,59,52.76,12.39,99.22,NA
2024-2025,Sep,24,ODISHA,2430,NABARANGAPUR,4219399,267.840213012298,39,155,5442.126295779,10737,0,39145,2617032,395191,40930,1280875,145401,113.60006,12565.190439179,66198,89488,163520,266639,1771,209189,329758,49882,7009.4640834,1203267,73,32.27,29.86,99.27,NA
2024-2025,Sep,24,ODISHA,2402,SUNDARGARH,6258761,254.305697247562,34,299,3741.005916769,17853,0,39965,3368323,276078,30477,2311689,238945,237.85357,12544.696777469,97295,123138,215678,345533,1493,238304,380175,57818,8565.8372907,1666580,75,36.62,32.6,99.65,NA
2024-2025,Sep,24,ODISHA,2404,MAYURBHANJ,7324550,256.673669049573,37,280,6593.27342035799,48830,0,118395,5859651,545368,57707,2906858,306636,242.92229,21876.376925558,158321,204783,351527,580685,1683,431446,688792,167225,15040.1812152,3060130,86,33.11,6.69,99.59,NA
2024-2025,Sep,24,ODISHA,2415,JHARSUGUDA,876717,254.634163925387,32,23,736.384916564001,4569,0,5756,428024,95862,19408,188261,41278,66.68413,1892.964380364,13217,18359,49355,94643,175,63227,115835,10325,1089.8953338,211707,64,43.24,17.31,99.73,NA
2024-2025,Sep,24,ODISHA,2417,BHADRAK,1771161,259.383874946611,26,79,2403.350798187,8036,0,38318,793709,113859,29161,5357,1435,113.92798,4576.031938187,29629,38837,135841,203143,40,200333,289177,46354,2058.75316,369838,77,28.18,5.93,99.54,NA
2024-2025,Sep,24,ODISHA,2421,ANGUL,2364637,255.430344009848,31,91,3664.264415428,9199,2,23096,961862,118594,33063,159981,34380,114.55854,6235.710370928,30205,40460,137357,244307,175,170500,293025,32295,2456.8874155,502335,63,56.87,9.19,99.8,NA
2024-2025,Sep,24,ODISHA,2429,RAYAGADA,3177940,263.809952453829,36,305,4281.826150486,10349,0,37160,2092913,375429,34298,1305711,123525,118.64724,9921.786180686,57426,78251,124048,201063,1412,153296,240568,47509,5521.3127902,1018614,59,52.85,12.29,99.22,NA
2024-2025,Sep,24,ODISHA,2404,MAYURBHANJ,7324550,256.470881015479,36,278,5908.364525757,47199,0,119772,5755631,534655,57680,2853427,306534,242.92229,20912.804349457,157262,203242,351398,580522,1552,431259,688526,166971,14761.5175337,3005549,86,33.18,6.58,99.61,NA
2024-2025,Sep,24,ODISHA,2408,KANDHAMAL,5495969,255.735044306032,48,3015,5659.111347432,15113,0,38195,5377146,1166123,54103,2953735,135609,142.42501,19552.783062932,110609,166676,146834,244766,9031,156672,262575,53308,13751.2467055,2685548,56,32.36,46.99,99.58,NA
2024-2025,Sep,24,ODISHA,2410,KALAHANDI,4289405,309.767725956075,40,295,8263.039304297,20361,0,36968,3746071,714536,67016,1273691,123736,165.64057,20032.798823697,93371,146631,213960,388016,6577,270940,471220,57329,11604.1189494,1796400,53,27.61,47.02,99.59,NA
2024-2025,Sep,24,ODISHA,2411,KORAPUT,5632710,266.88998479539,38,434,10752.742918585,15995,0,54451,3755440,515767,45977,2130129,189559,157.02173,20932.657893585,96832,124886,219229,338310,3042,256094,385452,70446,10022.893245,1735901,63,50.04,19.95,98.96,NA
2024-2025,Sep,24,ODISHA,2423,KHORDHA,936998,254.98140471268,25,51,1252.83355981,3618,0,9166,296986,27714,16179,18705,8623,55.32392,2065.41655441,11818,16209,66770,123128,77,109191,189769,12784,757.2590746,129854,54,49.81,18.65,99.7,NA
2024-2025,Sep,24,ODISHA,2426,BOUDH,1228360,256.085137224778,33,31,1518.7385094651,7108,0,13136,919076,170208,27005,104212,13953,71.97081,3944.3263552651,27221,41623,71808,130788,146,93355,163475,20244,2353.6170358,422198,79,41.64,20.39,99.38,NA
2024-2025,Sep,24,ODISHA,2401,SAMBALPUR,1585068,254.634324066937,30,57,708.452631951,10138,0,13184,826391,122886,24241,398334,78220,94.99544,2907.723208951,26750,36886,89633,159010,156,128585,225491,23322,2104.275137,401243,69,37.58,24.76,99.57,NA
2024-2025,Sep,24,ODISHA,2402,SUNDARGARH,6258761,254.688689995815,33,280,3523.433768468,17170,0,40367,3142135,254874,30462,2158514,238895,237.85357,11763.949807868,93394,117881,215549,345419,1302,237963,379805,57537,8002.6624694,1559291,75,36.92,31.83,99.68,NA
2024-2025,Sep,24,ODISHA,2404,MAYURBHANJ,7324550,256.993303830043,36,271,5908.364525757,45874,0,120831,5627169,520926,57643,2790055,306401,240.20259,20610.014640957,155750,201177,351206,580216,1420,431074,688258,166705,14461.4475252,2937663,86,33.33,6.55,99.62,NA
2024-2025,Sep,24,ODISHA,2405,BALESHWAR,1625665,259.094075688875,29,126,1876.0395436,14882,0,53725,1136019,176638,43931,73231,18505,132.6805,4952.0779713,38589,51902,159864,268033,60,252693,404529,68607,2943.3579277,562289,79,31.66,4.51,99.68,NA
2024-2025,Sep,24,ODISHA,2412,GANJAM,12949225,231.383610454092,26,172,8944.09251208399,21677,0,38929,2310521,343112,101731,128246,27716,387.41256,14677.671982184,85762,97010,403046,581010,288,434514,620790,60606,5346.1669101,1332903,47,42.38,29.7,99.26,NA
2024-2025,Sep,24,ODISHA,2413,PURI,1252213,269.613981892523,24,40,846.628573477,11539,0,21211,547840,104588,38634,2749,1020,141.55885,2465.240661877,22401,33921,118829,244158,71,194643,369141,32750,1477.0532384,248090,85,30.35,11.87,99.57,NA
2024-2025,Sep,24,ODISHA,2402,SUNDARGARH,6258761,253.615518848979,34,286,3523.433768468,17307,0,40330,3241714,264311,30451,2226002,238923,237.85357,11982.777119168,94894,119910,215588,345453,1372,238002,379848,57637,8221.4897807,1607112,75,36.69,32.11,99.68,NA
2024-2025,Sep,24,ODISHA,2408,KANDHAMAL,5495969,255.832979026471,48,3010,5659.111347432,15108,0,38181,5335535,1156977,54105,2931023,135638,142.42501,19451.594494932,110426,166350,146838,244812,8837,156629,262564,53289,13650.0581375,2664896,56,32.39,46.98,99.57,NA
2024-2025,Sep,24,ODISHA,2409,BOLANGIR,5194400,304.41590139318,40,403,5861.612462824,19659,0,53326,4017714,551798,67508,845358,99959,254.1543,18346.327051324,98621,159929,230921,435139,6401,285757,520754,72985,12230.5602885,1767052,75,35.51,49.5,99.61,NA
2024-2025,Sep,24,ODISHA,2410,KALAHANDI,4289405,309.57405333512,40,295,8263.039304297,20275,0,37041,3730000,711377,67017,1265875,123709,165.64057,19975.792063697,93193,146293,213957,387992,6518,270903,471142,57316,11547.1121894,1788459,53,27.64,47.01,99.59,NA
2024-2025,Sep,24,ODISHA,2414,BARGARH,2200043,296.534093180799,31,103,753.249700275,13189,0,20140,1084086,157710,44629,247396,59030,197.50256,4165.436849675,33900,50034,131862,252945,791,187889,338025,33329,3214.6845894,461225,73,40.54,33.2,99.82,NA
2024-2025,Sep,24,ODISHA,2418,KENDRAPARA,1427628,257.786038067921,24,58,286.954961364,5848,0,24480,374436,63843,43040,1030,1296,102.25783,1354.456520864,14978,20320,127728,223436,25,195403,321937,30328,965.2437295,165181,53,43.14,3.66,99.61,NA
2024-2025,Sep,24,ODISHA,2424,GAJAPATI,1896049,274.846975203845,32,88,2371.713328293,7150,0,21717,1165100,72605,11112,775885,110661,95.9386,5669.894036393,36000,51072,90212,168358,703,109557,196261,28867,3202.2421081,583125,65,49.99,19.59,99.29,NA
2024-2025,Sep,24,ODISHA,2402,SUNDARGARH,6258761,252.771282416388,33,282,3523.433768468,17214,0,40370,3178562,258695,30457,2182383,238904,237.85357,11795.779268268,93917,118575,215560,345422,1324,237972,379810,57584,8034.4919298,1576736,75,36.86,31.92,99.66,NA
2024-2025,Sep,24,ODISHA,2405,BALESHWAR,1625665,258.334752047881,29,126,1876.0395436,14911,0,53711,1139837,177058,43940,73320,18508,132.6805,4953.3151313,38701,52064,159885,268083,60,252752,404624,68622,2944.5950877,564175,79,31.64,4.52,99.66,NA
2024-2025,Sep,24,ODISHA,2416,DEOGARH,759381,268.59291467233,29,124,1288.067766851,2488,0,5076,450651,52488,13285,152798,29588,52.20644,2550.690862751,15345,22784,49186,90277,92,64942,115596,7564,1210.4166559,228884,36,54.49,18.58,99.75,NA
2024-2025,Sep,24,ODISHA,2419,JAGATSINGHAPUR,1112426,258.737667530205,20,46,1259.948845946,2884,0,10306,261714,32087,24664,712,572,79.75162,2016.853165146,12873,18516,80977,138367,20,123035,198556,13190,677.1526992,108883,52,48.27,5.83,99.56,NA
2024-2025,Sep,24,ODISHA,2421,ANGUL,2364637,254.48127813804,31,89,3597.959376084,9063,2,23111,910911,112010,33087,151065,34381,114.55854,6030.615871584,29186,39027,137315,244521,157,170636,293507,32174,2318.0979555,474305,63,57.88,8.88,99.81,NA
2024-2025,Sep,24,ODISHA,2431,MALKANGIRI,2082123,249.274934778148,36,249,3146.03707217,8921,0,23785,1559600,387808,38198,913895,90142,87.17104,7120.89999497,42661,56993,94623,154208,1167,111872,177667,32706,3887.6918828,695852,72,54.34,14.24,99.33,NA
2024-2025,Jan,24,ODISHA,2402,SUNDARGARH,9005387,252.689700025223,50,470,4892.579626187,28234,0,23247,7211673,607737,30857,4961691,243639,455.72734,23571.461836687,141604,185063,220594,352172,10032,247099,392275,51481,18223.1548705,3497007,69,35.01,40.77,99.79,NA
