fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Nov,24,ODISHA,2401,SAMBALPUR,2058647,253.148281578923,35,67,799.822170257,11705,0,12280,1209913,173720,24334,611975,78752,160.04359,4022.739728357,33762,47598,90338,159873,478,128868,225622,23985,3062.8739681,569341,69,33.92,34.14,99.58,NA
2024-2025,Nov,24,ODISHA,2402,SUNDARGARH,7716468,253.701973414151,40,369,4064.500004682,23826,0,35813,4613507,388320,30603,3155484,240020,272.66969,16041.727997282,114227,146484,216881,347015,3127,240064,382321,59639,11704.5583026,2256613,75,36.06,35.08,99.72,NA
2024-2025,Nov,24,ODISHA,2419,JAGATSINGHAPUR,1251380,259.419585059254,23,65,1372.149118789,3806,0,10110,375162,45129,24672,980,572,84.03583,2429.428652489,15664,22566,81353,138939,76,123521,199158,13916,973.2437037,156647,54,51.29,5.25,99.7,NA
2024-2025,Nov,24,ODISHA,2428,NUAPADA,2858816,335.794773605896,51,551,2540.586533985,23026,0,31881,2770346,360169,27221,1056795,76607,79.88688,11923.150492785,53301,99185,87397,196038,7018,99675,216468,54907,9302.67707880001,1277846,77,44.61,21.24,99.65,NA
2024-2025,Nov,24,ODISHA,2429,RAYAGADA,4335438,264.234551089301,41,344,4613.627030815,12711,0,36267,2759981,482157,34318,1729793,124330,153.25899,12059.709426315,65799,90314,124832,201910,2856,155185,242566,48978,7292.82340549999,1346582,59,56.64,10.97,99.35,NA
2024-2025,Nov,24,ODISHA,2430,NABARANGAPUR,5209913,270.263973691279,44,161,6503.480018741,12021,0,39225,3212927,487155,41411,1584240,146496,132.72669,15319.590890741,72976,98917,165156,268860,3165,212165,333300,51246,8683.384182,1466759,73,32.99,28.53,99.37,NA
2024-2025,Nov,24,ODISHA,2406,CUTTACK,1859929,252.1939366834,28,52,1503.104189746,6160,0,17027,459374,63261,46600,28346,10594,122.02227,2783.639834446,16036,22874,121398,237650,62,202041,367807,23187,1158.5133747,214952,67,39.41,16.12,99.7,NA
2024-2025,Nov,24,ODISHA,2409,BOLANGIR,6871981,304.573865459125,45,435,7411.12342618999,27884,0,47052,5203519,723106,67790,1124177,100371,347.909,23607.59138439,114361,186833,232372,437154,9611,287440,522964,74936,15848.5589582,2264460,75,35.87,49.73,99.72,NA
2024-2025,Nov,24,ODISHA,2411,KORAPUT,7272987,268.140631644495,44,491,12015.361328416,20757,0,50818,4902837,659742,45985,2800376,189503,233.20187,25395.061298716,110667,144034,220261,338561,5464,257295,385642,71575,13146.4981003,2251617,63,51.53,20.24,99.25,NA
2024-2025,Nov,24,ODISHA,2412,GANJAM,16137861,231.863841896447,31,198,10649.778201337,26410,0,35465,3256954,485267,101884,193404,27780,498.03447,18699.511344537,102273,116429,403670,582136,728,436166,623337,61875,7551.6986732,1879859,47,41.91,27.97,99.53,NA
